4,428.63,136,30,260,76.083
4,1094.7,26.916,50.505,437.71,71.302
5,259.31,0,55.147,477.94,90.036
5,998.15,117.42,23.184,200.93,66.994
6,216.92,0,50.505,437.71,108.14
7,290.77,0,50.505,437.71,92.505
8,405.8,197.77,23.184,200.93,56.116
9,296.68,61.803,38.86,336.79,82.697
10,1088.8,109.09,25.253,218.86,72.451
10,413,136,30,260,42.187
11,219.79,0,25.253,218.86,70.208
11,374.5,88,15,130,58.791
12,278.46,24.615,46.154,400,77.507
13,980.87,127.85,25.253,218.86,60.356
13,414.5,128,15,130,44.355
14,297.44,5.1799,19.43,168.39,75.935
16,463.08,40.374,50.505,437.71,67.425
16,1109.6,184,17.815,154.39,43.507
17,345.26,0,50.505,437.71,73.046
17,1178.7,123.61,23.184,200.93,72.549
17,599.19,169.41,21.186,183.62,53.761
18,509,88,30,260,77.879
18,21,0,42.493,368.27,48.584
19,340,0,50.505,437.71,88.963
19,563.37,88,30,260,86.963
20,482.76,0,42.493,368.27,79.06
20,1095.6,148.04,25.253,218.86,73.174
21,529.68,124.9,27.574,238.97,76.311
21,1185.6,147.33,17.815,154.39,70.382
21,597.05,141.31,27.574,238.97,68.679
22,385.68,0,55.147,477.94,115.21
23,345.26,0,60,520,94.902
23,487.69,0,50.505,437.71,75.415
23,263.88,160,35.8,310.26,49.231
23,1116.9,259.57,23.184,200.93,35.206
24,364.62,0,55.147,477.94,71.607
24,283.19,61.782,17.815,154.39,36.781
25,929.13,213.82,17.815,154.39,78.907
25,1085.9,135.97,23.184,200.93,53.393
26,1071.3,132.24,27.574,238.97,49.878
28,1141,67.338,32.751,283.84,97.362
29,1071.2,209.45,16.358,141.77,37.461
30,251.21,0,46.154,400,52.369
31,1133,7.3469,30,260,79.219
32,980.3,80,35.8,310.26,78.823
32,137.98,150.22,19.43,168.39,42.818
34,114.59,0,64.935,562.77,92.673
36,385.68,0,50.505,437.71,80.205
37,817.91,95.364,35.8,310.26,102.82
37,733.93,238.27,19.43,168.39,50.691
37,141.21,51.799,38.86,336.79,46.129
38,781,122.18,35.8,310.26,99.51
38,709.23,253.09,16.358,141.77,47.483
39,930.77,0,46.154,400,79.715
39,1167.2,0,50.505,437.71,71.548
41,362.3,0,55.147,477.94,52.614
42,263.88,16,42.493,368.27,78.362
42,919.63,190.1,17.815,154.39,36.093
44,953.56,176.33,27.574,238.97,66.173
44,424.85,122.18,32.751,283.84,43.306
45,997,148.36,32.751,283.84,52.837
47,774.5,280,15,130,48.051
48,500.73,180.71,23.184,200.93,72.042
48,154.34,0,42.493,368.27,60.695
48,90.435,148.33,23.184,200.93,39.456
48,334.17,222.55,16.358,141.77,37.421
49,816.84,155.4,21.186,183.62,40.594
50,992,0,55.147,477.94,94.423
50,411.98,198.37,30,260,70.473
50,946.21,191.02,27.574,238.97,63.557
50,783.07,95.364,46.154,400,52.237
50,879.32,292.36,16.358,141.77,46.882
51,1083.2,0,60,520,64.448
52,359.4,93.237,38.86,336.79,105.26
52,493,139.64,32.751,283.84,72.139
52,947.26,34.016,42.493,368.27,51.144
53,1048.4,174.95,25.253,218.86,68.599
53,637.47,208.6,25.253,218.86,51.392
54,510.92,210.13,23.184,200.93,66.735
54,180,0,60,520,65.164
55,842.75,158.12,27.574,238.97,50.853
55,553.91,161.5,25.253,218.86,43.353
55,500,12.308,46.154,400,41.516
56,947.37,134.58,25.253,218.86,47.588
56,504.26,196.36,16.358,141.77,38.319
56,1117.4,191.65,19.43,168.39,35.293
58,303.08,0,50.505,437.71,65.18
58,162.73,0,46.154,400,60.669
60,501,43.636,32.751,283.84,70.099
61,241.54,0,55.147,477.94,91.004
61,538.43,104.73,32.751,283.84,63.049
61,804.53,103.6,38.86,336.79,49.107
62,401.54,0,46.154,400,90.589
62,1097.9,0,64.935,562.77,75.997
62,504.73,156.83,23.184,200.93,68.943
62,568.65,175.06,21.186,183.62,50.402
62,1070.5,36,15,130,36.313
63,1109.1,100.93,25.253,218.86,47.677
64,1055.1,139.59,27.574,238.97,68.174
65,448.84,148.04,25.253,218.86,71.04
65,102.8,148.33,23.184,200.93,64.041
65,516.21,67.983,25.253,218.86,63.349
65,541.84,197.77,23.184,200.93,62.116
65,391.9,169.41,21.186,183.62,52.1
65,224,12.308,50.505,437.71,50.087
65,1188,93.237,38.86,336.79,36.425
66,244.78,24,38.86,336.79,75.542
66,378.18,204.36,17.815,154.39,53.574
67,870.74,0,50.505,437.71,60.658
67,607.82,168.98,27.574,238.97,59.876
67,783,197.77,23.184,200.93,50.037
68,1059.4,0,50.505,437.71,64.514
68,826.28,160,30,260,63.139
68,389.23,0,50.505,437.71,62.231
68,571.03,144,30,260,58.376
68,534.75,203.29,21.186,183.62,50.685
69,730.5,244.36,16.358,141.77,59.156
69,927.16,10.36,38.86,336.79,54.669
69,342.99,129.79,30,260,54.653
69,769.66,191.02,27.574,238.97,49.191
70,197.05,0,60,520,75.978
70,955.38,0,46.154,400,67.537
70,482.76,95.364,35.8,310.26,57.029
70,797,126.55,30,260,50.895
70,867.38,185.35,17.815,154.39,46.086
71,493.13,76.291,35.8,310.26,43.882
71,827.46,104.9,35.8,310.26,38.737
72,881.54,12.308,46.154,400,51.217
72,410.69,10.36,38.86,336.79,44.317
73,298.5,248.73,16.358,141.77,63.602
73,690.5,260,15,130,47.063
74,501,122.18,32.751,283.84,118.39
74,360.81,253.81,19.43,168.39,43.436
75,274.02,0,55.147,477.94,108.79
75,177,210.13,23.184,200.93,52.447
75,944.86,0,64.935,562.77,49.834
75,238.84,203.95,23.184,200.93,37.918
76,354.95,82.878,42.493,368.27,75.017
76,1072.8,0,50.505,437.71,66.064
76,655.52,88.163,35.8,310.26,60.166
77,991.09,0,46.154,400,95.904
78,813.79,183.67,27.574,238.97,51.742
79,785.75,227.91,19.43,168.39,38.807
80,861.71,109.09,32.751,283.84,88.327
80,539.47,0,42.493,368.27,71.842
80,603.79,121.12,27.574,238.97,39.403
81,192.31,0,55.147,477.94,92.683
82,250.95,0,50.505,437.71,77.821
84,354.53,195.14,25.253,218.86,71.759
84,63.284,80.816,42.493,368.27,60.327
84,1022.5,208,15,130,39.158
85,253,64,35.8,310.26,67.681
85,932.54,57.219,35.8,310.26,35.303
87,781,144,30,260,67.165
88,906,0,64.935,562.77,126.67
88,286.32,28.609,42.493,368.27,80.76
88,118.46,98.462,46.154,400,59.835
88,1142.1,0,55.147,477.94,57.639
89,389.23,64,46.154,400,72.973
90,538.5,252,15,130,80.216
90,482.76,185.41,27.574,238.97,71.374
90,381,51.429,32.751,283.84,54.43
91,47.15,191.59,23.184,200.93,51.007
92,1218.5,241.03,23.184,200.93,46.346
92,377.79,8.7273,16.358,141.77,39.632
93,505.49,11.339,42.493,368.27,93.299
94,389.23,0,60,520,122.57
