4,423.58,134,30,300,133.01
4,1097.3,22,42.493,424.93,95.35
5,266.27,-3.3645,50.505,505.05,140.15
5,999.56,112.87,21.186,211.86,100.7
5,372.27,190.59,21.186,211.86,70.52
6,218.51,-2.8346,42.493,424.93,102.23
6,1107.5,117.62,17.815,178.15,80.723
6,387.5,247,15,150,40.575
7,293.1,-2.8346,42.493,424.93,115.66
7,747.5,235,15,150,35.22
8,411.83,184.94,21.186,211.86,65.961
9,302.32,70,30,300,87.647
10,1091.8,111,17.815,178.15,95.27
11,371.5,67,15,150,71.685
11,225.34,4.2353,21.186,211.86,42.985
12,285.37,18.505,35.8,358,98.489
13,976,105.98,25.253,252.53,109.74
14,298.63,3,17.815,178.15,79.427
14,1106,165.15,17.815,178.15,62.997
15,1238.7,112.71,25.253,252.53,52.655
15,535.5,174.65,17.815,178.15,41.898
16,466.87,53.858,42.493,424.93,103.36
17,349.73,-2.8346,42.493,424.93,103
17,1180.4,111.53,21.186,211.86,89.44
17,602.6,165.15,17.815,178.15,81.531
18,511,85.794,30,300,103.86
19,349.47,-2.8346,42.493,424.93,112.01
19,558.32,84.356,30,300,95.24
19,703.5,255,15,150,52.09
20,479,-2.3841,42.493,424.93,82.52
20,1101.3,141.39,21.186,211.86,76.937
21,530.51,117.18,30,300,138.17
21,598.32,126.17,25.253,252.53,98.478
21,1186,145.41,21.186,211.86,59.149
22,380.9,-2.8346,50.505,505.05,154.35
22,591.5,219,15,150,69.424
22,615.28,151.06,21.186,211.86,61.366
23,485.66,-3.3645,50.505,505.05,120.86
23,348.63,-3.3645,50.505,505.05,104.39
23,263,140.66,35.8,358,57.979
24,362.11,-3.3645,50.505,505.05,84.746
24,281.85,32.079,21.186,211.86,42.676
25,1079,122.82,30,300,85.884
25,930.32,193.66,17.815,178.15,85.435
26,1070.3,112.71,30,300,88.374
27,1140.8,111.53,21.186,211.86,45.463
28,1143,54,30,300,102.73
28,968.31,156.71,25.253,252.53,54.298
29,1063.6,99.252,25.253,252.53,66.242
30,1015,58.879,30,300,86.479
30,982.6,167,21.186,211.86,66.237
30,259.5,-1,15,150,49.822
30,457.26,139.63,25.253,252.53,30.161
31,1126,-1.6822,35.8,358,91.297
31,1056.8,128.47,25.253,252.53,56.591
31,531.37,119.44,25.253,252.53,55.199
31,507.5,223,15,150,51.14
32,982.74,54,30,300,96.111
34,119.58,-3.3645,50.505,505.05,116.7
36,375.58,-3.3645,50.505,505.05,117.7
36,1205.1,-2,30,300,63.024
37,820.3,70,35.8,358,123.6
37,142.09,45.298,35.8,358,49.099
37,304.46,196.24,21.186,211.86,41.665
38,783,134,30,300,96.945
38,194.53,110,30,300,48.675
38,268.63,193.46,25.253,252.53,37.693
39,1170.5,-3.3645,50.505,505.05,82.849
39,934.93,-2.8346,42.493,424.93,72.603
39,868.06,30,42.493,424.93,64.081
41,367,4.2353,30,300,45.707
42,266.27,5.0467,42.493,424.93,111.93
42,915.37,186.73,25.253,252.53,41.918
43,854.32,231.68,17.815,178.15,57.214
43,515.5,219,17.815,178.15,49.348
43,423,54,30,300,41.417
44,430.32,102,30,300,89.497
44,955.79,173.27,25.253,252.53,68.258
44,1039.5,231,15,150,44.815
44,1144.4,173.27,25.253,252.53,30.877
45,1002.9,155.64,25.253,252.53,84.23
45,423.13,88.941,25.253,252.53,60.586
45,134.51,8.5039,42.493,424.93,37.513
45,1083.5,219,15,150,35.811
46,490.95,207.53,21.186,211.86,39.463
47,484.21,159.81,25.253,252.53,47.866
47,773.58,222.18,17.815,178.15,44.986
48,159,54,30,300,53.656
48,87,30,30,300,50.315
48,497.68,105.98,25.253,252.53,41.884
49,816.33,159,17.815,178.15,73.176
49,702.34,203.17,17.815,178.15,41.286
50,410.11,184.94,25.253,252.53,115.08
50,782.09,94,35.8,358,99.215
50,981.89,-3.3645,50.505,505.05,78.021
50,948.7,196.24,21.186,211.86,70.049
51,1089.7,-3.3645,50.505,505.05,47.576
52,362.95,92.523,35.8,358,156.76
52,495,132.9,30,300,83.301
52,938.76,8.5039,42.493,424.93,63.808
53,1056.8,159.81,25.253,252.53,61.797
53,639.16,180,25.253,252.53,60.556
54,513.55,212.67,21.186,211.86,73.815
54,186.95,10.093,50.505,505.05,73.532
54,1197.5,-1.6822,50.505,505.05,52.49
55,495.52,-2.8346,42.493,424.93,80.227
55,551,38.692,30,300,69.242
55,1018.1,8.5039,42.493,424.93,65.575
55,843.5,167,15,150,47.202
56,1171.4,83.294,25.253,252.53,72.241
56,948.7,131.88,21.186,211.86,67.976
