1,1173.3,156.71,35.311,211.86,41.71
2,765,166.54,50,300,49.38
2,938.11,10.093,84.175,505.05,30.451
3,482.5,188.91,29.691,178.15,100.61
4,421,85.794,50,300,148.46
4,1083.2,22,70.822,424.93,84.979
5,250.95,-3.3645,84.175,505.05,165.92
5,992.49,94.588,35.311,211.86,160.9
5,365.21,168,35.311,211.86,127.87
6,1100.1,103.37,29.691,178.15,145.1
6,206.57,-2.8346,70.822,424.93,136.87
6,382.5,247,25,150,47.888
7,278.94,-2.8346,70.822,424.93,135.62
7,477.92,217.43,29.691,178.15,50.44
7,742.5,231,25,150,46.614
8,404.77,179.29,35.311,211.86,94.691
8,1090.5,155.64,29.691,178.15,70.035
9,282.99,62,59.666,358,116.1
10,1085.9,99,29.691,178.15,67.747
11,218.28,3,35.311,211.86,69.883
11,366.5,71,25,150,56.601
12,267.61,8.5039,70.822,424.93,137.36
13,967.58,65.607,42.088,252.53,169.71
14,1100.1,155.64,29.691,178.15,110.71
14,292.69,-1.1881,29.691,178.15,94.428
15,530.17,155.64,29.691,178.15,128.78
15,1230.3,105.88,42.088,252.53,95.613
16,454.93,41.584,59.666,358,138.03
16,1104.9,167,29.691,178.15,64.347
17,1173.3,100.24,35.311,211.86,120.65
17,335.58,-2.8346,70.822,424.93,108.22
17,596.66,160.4,29.691,178.15,104.23
18,501,70,50,300,84.003
18,-5.0526,-3.3645,84.175,505.05,64.913
19,556.63,83,42.088,252.53,106.71
19,335.58,-2.8346,70.822,424.93,105.85
19,734.4,227,29.691,178.15,55.253
19,702.5,263,25,150,32.688
20,474.03,-2,59.666,358,100.41
20,1094.2,134.12,35.311,211.86,98.605
20,710.65,203,29.691,178.15,77.594
20,1052.6,260.2,29.691,178.15,40.971
21,522.95,62,50,300,172.62
21,590.32,117.18,42.088,252.53,151.02
21,1182.5,139,25,150,76.789
22,369.56,-2.8346,70.822,424.93,184.94
22,582.41,156.71,35.311,211.86,81.54
23,482.83,-2.8346,70.822,424.93,131.08
23,331.79,-3.3645,84.175,505.05,119.55
23,253,150,59.666,358,62.611
24,482.5,183,35.311,211.86,95.44
24,345.26,-3.3645,84.175,505.05,87.444
25,922.5,193.66,29.691,178.15,134.7
25,1075.4,117.18,42.088,252.53,98.969
25,477.92,155.64,35.311,211.86,87.167
26,1061.9,99.252,42.088,252.53,116.65
26,463.67,155.64,35.311,211.86,88.566
26,78.961,264.95,29.691,178.15,37.283
27,473.17,159,29.691,178.15,80.589
27,1123.6,72.336,59.666,358,66.654
28,1133,54,50,300,97.731
28,455.63,132.9,42.088,252.53,84.198
28,962.37,150.89,29.691,178.15,73.569
28,874.5,223,25,150,65.308
28,722.5,227,25,150,43.731
