4,425.75,139.64,32.751,283.84,61.393
4,1089.7,28.609,50.505,437.71,54.897
5,262.99,0,55.147,477.94,95.597
5,999.51,117.42,23.184,200.93,55.701
6,213.89,0,50.505,437.71,106.28
7,293.1,0,46.154,400,96.662
8,411.83,191.59,23.184,200.93,47.255
9,294.93,67.29,38.86,336.79,60.249
10,419.11,148.36,19.43,168.39,46.743
10,1094.1,108,16.358,141.77,44.328
11,204.14,0,55.147,477.94,60.541
11,370.15,78.545,16.358,141.77,35.115
12,281.54,24.615,46.154,400,68.579
13,982.42,127.85,25.253,218.86,64.972
13,413.76,132,16.358,141.77,59.999
14,298.63,9.505,17.815,154.39,57.346
15,536.1,180.59,17.815,154.39,35.387
16,465.1,49.231,46.154,400,70.408
16,459.5,476,15,130,46.65
17,348.63,0,50.505,437.71,79.226
17,602.6,190.1,17.815,154.39,50.725
17,1180.4,129.88,21.186,183.62,41.169
18,506.67,88,30,260,83.784
18,12.874,0,55.147,477.94,70.312
19,335.16,0,55.147,477.94,90.718
19,559,87.477,30,260,63.812
20,484.6,0,42.493,368.27,62.776
20,1097.3,141.31,25.253,218.86,44.742
21,594.94,132.24,27.574,238.97,105.21
21,528.74,124.9,30,260,84.98
22,375.58,0,55.147,477.94,94.836
22,588.21,223.37,17.815,154.39,45.196
23,336.55,0,60,520,124.54
23,483.37,0,55.147,477.94,74.793
23,259.12,147.4,42.493,368.27,47.383
24,365.98,0,55.147,477.94,73.705
25,928.38,209.11,17.815,154.39,63.319
25,1084.3,135.97,23.184,200.93,45.922
26,1070.3,132.24,27.574,238.97,59.167
28,1139.3,69.818,32.751,283.84,63.351
30,244.62,0,46.154,400,70.345
30,1013.3,80.343,23.184,200.93,39.886
31,1137.7,0,27.574,238.97,38.957
32,982.69,72,35.8,310.26,72.384
34,111.41,0,71.09,616.11,91.229
36,380,0,60,520,73.404
36,1204.6,0,32.751,283.84,53.509
37,820.2,102.86,35.8,310.26,92.1
38,783,152,32.751,283.84,69.722
38,268.63,195.14,25.253,218.86,51.215
38,710.32,244,16.358,141.77,47.592
39,1170.5,0,50.505,437.71,82.563
39,931.5,0,46.154,400,74.589
39,872.31,24.615,46.154,400,47.495
41,355.38,0,50.505,437.71,61.922
42,268.18,0,46.154,400,57.835
42,914.4,228.67,23.184,200.93,44.825
44,427.03,122.18,32.751,283.84,46.581
44,957.68,186.47,23.184,200.93,40.363
45,999,168,30,260,43.625
47,485.3,231.53,21.186,183.62,35.354
50,998.62,0,55.147,477.94,70.722
50,785.26,113.45,32.751,283.84,41.55
50,410.11,215.33,27.574,238.97,41.065
50,942.32,188.41,25.253,218.86,39.545
51,1086.9,0,55.147,477.94,72.416
52,361.79,95.364,35.8,310.26,91.121
52,495,160,30,260,63.711
52,938.76,34.016,42.493,368.27,38.192
53,1051,160.69,27.574,238.97,56.188
54,512.46,210.13,23.184,200.93,70.607
54,1205.5,0,27.574,238.97,60.994
54,183.08,58.776,60,520,48.333
54,1089.7,218.18,16.358,141.77,35.503
55,844.05,160.58,19.43,168.39,59.39
55,555.5,152.73,16.358,141.77,53.858
55,490.77,0,46.154,400,46.46
56,505.35,200.73,16.358,141.77,61.649
56,543.45,102.86,27.574,238.97,35.744
57,796.91,203.95,23.184,200.93,61.088
57,531.52,292.36,16.358,141.77,35.532
58,294.74,0,50.505,437.71,49.54
58,174.32,6.729,25.253,218.86,46.595
60,506.67,51.429,27.574,238.97,63.875
61,254,0,60,520,72.699
61,807,113.45,32.751,283.84,37.983
62,1102,0,60,520,65.953
